gender,age
M,4
M,21
M,50
K,53
M,15
K,12
K,9
M,31
K,30
K,4
M,1
M,28
K,28
K,15
M,39
M,17
M,35
M,15
M,26
K,28
M,50
K,50
M,13
M,9
M,32
K,28
M,39
K,43
M,17
M,28
M,NULL
M,43
K,50
K,11
M,10
K,17
M,32
M,36
K,38
K,6
K,3
M,2
K,23
K,20
K,16
M,24
M,24
M,59
K,45
K,19
K,6
M,18
M,NULL
M,NULL
M,29
M,28
K,28
K,26
M,36
K,33
M,23
M,20
M,15
K,1
M,26
K,30
K,25
M,25
K,26
M,22
M,19
M,16
K,22
M,27
M,51
K,41
M,17
M,16
M,15
M,11
M,7
K,12
K,10
K,4
M,27
M,26
M,22
K,19
M,26
M,29
K,28
K,20
K,24
M,39
K,24
M,2
M,1
K,21
M,24
M,23
M,27
K,23
K,73
M,33
K,18
K,52
M,27
K,19
M,19
K,26
K,79
K,61
K,19
M,43
K,44
M,10
K,8
K,22
M,23
M,28
M,15
M,17
M,34
K,39
K,6
M,3
M,34
M,47
K,64
K,30
M,39
M,22
K,8
K,2
M,48
K,65
K,38
M,33
K,40
M,3
M,46
K,46
M,12
K,9
K,7
K,6
K,76
M,68
K,39
M,70
K,47
M,28
K,26
M,2
M,9
M,20
M,24
M,17
M,18
M,21
M,16
M,56
M,32
K,26
M,64
K,50
K,22
K,18
M,14
M,29
K,25
M,46
K,42
K,19
M,16
M,21
M,18
M,29
K,30
M,56
M,38
K,40
M,8
K,6
K,5
K,3
M,2
M,0
K,24
K,16
K,30
K,34
M,23
M,29
K,20
M,18
M,16
M,24
K,25
M,36
M,38
K,37
M,10
M,8
M,5
K,3
K,1
K,69
K,20
K,23
K,24
M,35
M,16
K,29
M,28
M,29
M,22
M,38
M,29
M,27
M,49
K,50
M,19
K,17
M,14
K,55
M,28
K,22
K,1
M,25
K,44
K,13
M,11
M,38
K,34
K,50
M,32
K,34
M,5
K,1
M,26
K,24
M,28
M,23
M,16
K,26
M,24
M,23
M,35
K,32
M,7
M,5
K,4
K,3
K,25
K,16
M,36
K,35
K,62
K,23
M,19
M,18
M,17
M,16
M,15
M,51
K,60
M,13
M,23
M,24
M,NULL
M,52
K,49
K,18
M,15
M,13
M,25
M,17
M,21
K,45
K,14
K,23
K,18
K,16
M,27
K,26
K,1
M,28
K,32
M,24
M,24
M,24
M,24
M,24
M,24
M,40
M,38
K,32
K,7
M,6
M,3
K,1
K,32
M,40
K,48
M,29
K,35
M,3
M,NULL
M,36
K,33
K,9
K,5
M,1
M,40
M,30
K,24
K,1
M,30
K,31
M,8
M,3
K,1
M,34
K,34
K,9
M,7
K,5
M,3
K,1
M,27
K,30
M,6
K,2
M,27
K,27
K,2
M,41
K,46
K,23
M,15
M,49
M,32
K,39
K,18
K,8
M,6
M,5
M,32
K,22
K,19
M,49
K,49
K,14
M,23
M,41
K,NULL
M,12
M,9
M,6
M,36
K,33
M,47
K,40
M,NULL
M,31
K,39
M,1
M,31
K,35
M,5
M,2
U,1
M,17
K,46
K,11
M,2
K,65
M,50
K,48
M,17
K,14
K,8
K,6
K,4
K,1
M,23
K,29
K,2
M,8
K,24
M,44
K,41
M,9
M,12
M,34
K,NULL
K,45
K,33
K,20
M,41
M,NULL
K,50
K,11
K,36
M,30
K,70
K,30
M,39
K,23
M,27
M,25
K,22
K,1
M,27
K,30
M,10
M,3
M,34
K,42
M,13
M,55
K,22
K,15
M,35
K,51
M,39
K,23
M,28
K,24
K,23
M,25
M,45
K,37
M,14
K,12
M,8
K,6
K,5
K,4
K,44
M,6
M,2
M,35
K,55
M,49
K,48
M,18
M,13
K,16
K,11
K,8
M,77
K,NULL
M,21
M,25
M,24
M,27
M,38
K,26
M,28
K,23
M,1
K,50
M,12
K,9
K,NULL
M,57
K,43
M,15
M,11
K,8
M,16
M,14
K,29
M,37
M,29
M,18
M,17
M,29
M,29
M,19
K,30
K,21
M,27
M,50
K,46
K,13
K,11
K,9
K,8
M,4
M,19
M,18
M,14
K,25
M,37
K,37
K,8
K,4
M,1
K,30
K,32
K,25
M,36
M,27
M,23
M,39
M,64
K,60
K,13
K,10
K,66
K,18
K,41
K,14
K,12
K,11
M,7
K,43
K,19
M,14
K,21
M,17
M,23
M,23
M,20
M,38
K,38
K,8
K,6
K,2
K,19
M,15
K,61
K,49
M,27
M,27
K,26
K,2
K,1
K,70
K,33
M,49
K,45
K,18
M,45
K,41
M,4
K,16
K,73
K,35
M,67
M,67
K,54
K,30
M,7
M,24
M,20
M,34
M,33
M,33
M,23
M,26
M,22
M,38
K,35
M,6
K,4
M,3
M,1
K,34
M,24
M,20
M,20
M,19
M,15
M,32
K,32
M,33
K,29
M,3
M,1
M,26
K,29
K,53
K,15
M,59
K,51
